Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Inflation Rate,2023-05-31T00:00:00,4.1,Monthly,CPI YOY,2023-07-19T08:16:00
United States,Inflation Rate,2023-06-30T00:00:00,3,Monthly,CPI YOY,2023-08-10T12:30:00
United States,Inflation Rate,2023-07-31T00:00:00,3.2,Monthly,CPI YOY,2023-09-13T12:30:00
United States,Inflation Rate,2023-08-31T00:00:00,3.7,Monthly,CPI YOY,2023-10-12T12:30:00
United States,Inflation Rate,2023-09-30T00:00:00,3.7,Monthly,CPI YOY,2023-11-14T13:30:00
United States,Inflation Rate,2023-10-31T00:00:00,3.2,Monthly,CPI YOY,2023-12-12T13:30:00
United States,Inflation Rate,2023-11-30T00:00:00,3.1,Monthly,CPI YOY,2024-01-11T13:30:00
United States,Inflation Rate,2023-12-31T00:00:00,3.4,Monthly,CPI YOY,2024-02-13T13:30:00
United States,Inflation Rate,2024-01-31T00:00:00,3.1,Monthly,CPI YOY,2024-03-12T12:30:00
United States,Inflation Rate,2024-02-29T00:00:00,3.2,Monthly,CPI YOY,2024-04-10T12:30:00
United States,Inflation Rate,2024-03-31T00:00:00,3.5,Monthly,CPI YOY,2024-05-15T12:30:00
United States,Inflation Rate,2024-04-30T00:00:00,3.4,Monthly,CPI YOY,2024-06-12T12:30:00
United States,Inflation Rate,2024-05-31T00:00:00,3.3,Monthly,CPI YOY,2024-07-11T12:30:00
United States,Inflation Rate,2024-06-30T00:00:00,3,Monthly,CPI YOY,2024-08-14T12:30:00
United States,Inflation Rate,2024-07-31T00:00:00,2.9,Monthly,CPI YOY,2024-09-11T12:30:00
United States,Inflation Rate,2024-08-31T00:00:00,2.5,Monthly,CPI YOY,2024-10-10T12:30:00
United States,Inflation Rate,2024-09-30T00:00:00,2.4,Monthly,CPI YOY,2024-11-13T13:30:00
United States,Inflation Rate,2024-10-31T00:00:00,2.6,Monthly,CPI YOY,2024-11-13T13:30:00
